Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Docmode Health,,DHTL,Miscellaneous, 126 , 40 
RR Metalmakers,531667,,Trading, 44 , 40 
Swojas Energy,530217,,Food - Processing - MNC, 13 , 40 
Duropack,526355,,Packaging, 75 , 40 
JMD Ventures,511092,,Finance & Investments, 14 , 40 
Veritaas,,VERITAAS,Miscellaneous, 141 , 40 
Gabriel Pet,544108,,Textiles - Manmade, 150 , 40 
Grandma Trading,504369,,Trading, 3 , 40 
Mega Flex Plast.,,MEGAFLEX,Packaging, 37 , 40 
Colorchips New,540023,,Entertainment / Electronic Media Software, 23 , 40 
Medicamen,,MEDIORG,Pharmaceuticals - Indian - Formulations, 145 , 40 
Abhishek Integr.,,AILIMITED,Construction, 66 , 40 
Qgo Finance,538646,,Finance & Investments, 57 , 40 
Polysil Irrigati,,POLYSIL,Plastics Products, 35 , 40 
Epuja Spiritech,532092,,Entertainment / Electronic Media Software, 5 , 40 
Netlink Solns(I),509040,,Computers - Software - Medium / Small, 159 , 40 
Rishi Techtex,523021,,Packaging, 54 , 40 
Infomedia Press,509069,INFOMEDIA,Printing & Stationery, 8 , 40 
Patspin India,514326,,Textiles - Cotton/Blended, 13 , 40 
Smart Finsec,539494,,Finance & Investments, 13 , 40 
Sumedha Fiscal,530419,,Finance & Investments, 50 , 40 
Family Care,516110,,Healthcare, 7 , 40 
Laxmipati Engg,537669,,Miscellaneous, 70 , 40 
Quest Softech,535719,,Electric Equipment, 41 , 41 
Global Cap.Mkt.,530263,,Finance & Investments, 1 , 41 
Bandaram Pharma,524602,,Healthcare, 34 , 41 
Kridhan Infra,533482,KRIDHANINF,Trading, 4 , 41 
Cyber Media Ind,532640,CYBERMEDIA,Entertainment / Electronic Media Software, 26 , 41 
Rolcon Engg. Co.,505807,,Engineering, 537 , 41 
A F Enterprises,538351,,Trading, 11 , 41 
EL Forge,531144,,Castings & Forgings, 20 , 41 
Madhav Marbles,515093,MADHAV,Miscellaneous, 46 , 41 
Unick Fix-A-Form,541503,,Printing & Stationery, 75 , 41 
Cospower Engine.,543172,,Electric Equipment, 274 , 41 
Mohit Industries,531453,MOHITIND,Textiles - Processing, 29 , 41 
Ravi Leela Gran,526095,,Miscellaneous, 39 , 41 
Williamson Magor,519224,WILLAMAGOR,Finance & Investments, 38 , 41 
Hemang Resources,531178,,Trading, 31 , 41 
Bizotic Commer.,543926,,Trading, 52 , 42 
Pratik Panels,526490,,Miscellaneous, 7 , 42 
Kallam Textiles,530201,,Textiles - Cotton/Blended, 8 , 42 
Timescan Logist.,,TIMESCAN,Miscellaneous, 60 , 42 
Golden Crest,540062,,Miscellaneous, 79 , 42 
Centenial Surgic,531380,,Healthcare, 114 , 42 
Techindia Nirman,526576,TECHIN,Construction, 29 , 42 
Cybele Industrie,531472,,Cables - Power, 39 , 42 
Veerhealth Care,511523,,Pharmaceuticals - Indian - Formulations, 21 , 42 
Vinyoflex,530401,,Plastics Products, 97 , 42 
Hiliks Technolog,539697,,Computers - Software - Medium / Small, 70 , 42 
Kabsons Industri,524675,,Trading, 24 , 42 
Diana Tea Co,530959,,Tea, 28 , 42 
Starlog Enterp.,520155,,Miscellaneous, 35 , 42 
Kay Power &Paper,530255,,Paper, 40 , 42 
Vama Industries,512175,,Trading, 8 , 42 
Fine Line Cir.,517264,,Electronics - Components, 88 , 42 
Inspire,,INSPIRE,Entertainment / Electronic Media Software, 31 , 42 
Ahm. Steelcraft,522273,,Trading, 103 , 42 
Lesha Industries,533602,,Trading, 4 , 42 
Manbro Indust.,512595,,Trading, 847 , 42 
Deco-Mica,531227,,Miscellaneous, 101 , 43 
Cont. Petroleums,523232,,Chemicals, 77 , 43 
E-Land Apparel,532820,,Textiles - Processing, 9 , 43 
Luharuka Media,512048,,Finance & Investments, 5 , 43 
Bombay Talkies,511246,,Finance & Investments, 8 , 43 
Chennai Ferrous,539011,,Trading, 119 , 43 
Khandwala Sec.,531892,KHANDSE,Finance & Investments, 28 , 43 
Accedere,531533,,Computers - Software - Medium / Small, 86 , 43 
Natl. Gen. Inds.,531651,,Steel - Medium / Small, 78 , 43 
Tirupati Foam,540904,,Miscellaneous, 98 , 43 
Infronics Sys.,537985,,Computers - Software - Medium / Small, 55 , 43 
Kavveri Telecom,590041,KAVVERITEL,Telecommunications - Equipment, 22 , 43 
Sampre Nutrition,530617,,Food - Processing - Indian, 60 , 44 
Sri Ramakr. Mill,521178,,Textiles - Cotton/Blended, 61 , 44 
J Taparia Proj,538539,,Miscellaneous, 27 , 44 
Nivaka Fashions,542206,,Trading, 4 , 44 
Country Condo,531624,COUNCODOS,Construction, 6 , 44 
Sunil Agro Foods,530953,,Food - Processing - Indian, 146 , 44 
Medinova Diagno.,526301,,Healthcare, 44 , 44 
Ambica Agarbat.,532335,AMBICAAGAR,Chemicals, 26 , 44 
JFL Life,,JFLLIFE,Pharmaceuticals - Indian - Formulations, 40 , 44 
Kamadgiri Fash.,514322,,Textiles - Processing, 75 , 44 
Add-Shop E-Reta.,541865,,Trading, 16 , 44 
Nirmitee Robotic,543194,,Miscellaneous, 123 , 44 
Naturite Agro,538926,,Food - Processing - Indian, 84 , 44 
India Home Loans,530979,,Finance - Housing, 31 , 44 
Sanginita Chemi.,,SANGINITA,Chemicals, 17 , 44 
Picturehouse,532355,,Entertainment / Electronic Media Software, 9 , 44 
Viji Finance,537820,VIJIFIN,Finance & Investments, 3 , 44 
Sai Capital,531931,,Finance & Investments, 155 , 45 
Yug Decor,540550,,Chemicals, 41 , 45 
India Cem. Cap.,511355,,Finance & Investments, 21 , 45 
Kemistar Corp.,531163,,Trading, 42 , 45 
Suryaamba Spinni,533101,,Textiles - Spinning - Synthetic / Blended, 153 , 45 
Poojawes. Metal.,540727,,Mining / Minerals / Metals, 44 , 45 
Odyssey Corpn.,531996,,Finance & Investments, 11 , 45 
Chandra Pr. Intl,530309,,Trading, 24 , 45 
Trident Texofab,540726,,Trading, 45 , 45 
Next Mediaworks,532416,NEXTMEDIA,Entertainment / Electronic Media Software, 7 , 45 
DSJ Keep Learn,526677,KEEPLEARN,Miscellaneous, 3 , 45 
Innokaiz India,543905,,Miscellaneous, 44 , 45 
Emergent Indust.,506180,,Trading, 99 , 45 
Roopa Industries,530991,,Pharmaceuticals - Indian - Bulk Drugs, 58 , 45 
Uniinfo Telecom,,UNIINFO,Telecommunications - Service Provider, 42 , 45 
ICDS,511194,ICDSLTD,Miscellaneous, 35 , 46 
Pan India Corpor,511525,,Finance & Investments, 2 , 46 
Ultra Wiring,,UWCSL,Auto Ancillaries, 88 , 46 
Shree Ganesh Bio,539470,,Pharmaceuticals - Indian - Bulk Drugs & Formln, 1 , 46 
City Crops Agro,544000,,Trading, 28 , 46 
Mah. Corporation,505523,,Trading, 1 , 46 
SecUR Credential,543625,SECURCRED,Miscellaneous, 11 , 46 
Falcon,,FALCONTECH,Engineering - Turnkey Services, 86 , 46 
Tirupati Sarjan,531814,,Construction, 14 , 46 
Prabhhans Inds,530361,,Construction, 74 , 46 
Utique Enterp.,500014,,Finance & Investments, 8 , 46 
Yuranus Infrast.,536846,,Construction, 132 , 46 
Sagardeep Alloys,,SAGARDEEP,Mining / Minerals / Metals, 27 , 46 
Riddhi Steel,540082,,Steel - Medium / Small, 56 , 46 
Shiva Global,530433,,Fertilizers, 47 , 46 
Transchem,500422,,Miscellaneous, 38 , 47 
Conart Engineers,522231,,Construction, 149 , 47 
Unifinz Capital,541358,,Finance & Investments, 149 , 47 
Polyspin Exports,539354,,Packaging, 47 , 47 
Dynamic Portfol,530779,,Finance & Investments, 40 , 47 
Sawaca Business,531893,,Trading, 1 , 47 
Assam Entrade,542911,,Finance & Investments, 328 , 47 
Agarwal Float,,AGARWALFT,Trading, 65 , 47 
IndiaNivesh,501700,,Finance & Investments, 13 , 47 
T N Telecom.,523419,TNTELE,Cables - Telephone, 10 , 47 
